date,product_sales,stock_price,product_price
2014-01-01 00:00:00,0,4972,1.29
2014-01-02 00:00:00,70,4902,1.29
2014-01-03 00:00:00,59,4843,1.29
2014-01-04 00:00:00,93,4750,1.29
2014-01-05 00:00:00,96,4654,1.29
2014-01-06 00:00:00,145,4509,1.29
2014-01-07 00:00:00,179,4329,1.29
2014-01-08 00:00:00,321,4104,1.29
2014-01-09 00:00:00,125,4459,1.09
2014-01-10 00:00:00,88,5043,1.09
2014-01-11 00:00:00,188,5239,1.09
2014-01-12 00:00:00,121,5118,1.09
2014-01-13 00:00:00,134,4984,1.09
2014-01-14 00:00:00,80,4904,1.09
2014-01-15 00:00:00,82,4822,1.09
2014-01-16 00:00:00,94,4728,1.19
2014-01-17 00:00:00,131,4591,1.19
2014-01-18 00:00:00,159,4464,1.19
2014-01-19 00:00:00,199,4265,1.19
2014-01-20 00:00:00,104,4161,1.19
2014-01-21 00:00:00,70,4091,1.19
2014-01-22 00:00:00,127,3964,1.09
2014-01-23 00:00:00,96,3868,1.09
2014-01-24 00:00:00,75,3793,1.09
2014-01-25 00:00:00,198,3595,1.09
2014-01-26 00:00:00,168,3427,1.09
2014-01-27 00:00:00,125,3302,1.09
2014-01-28 00:00:00,86,3216,1.09
2014-01-29 00:00:00,222,2994,0.99
2014-01-30 00:00:00,272,2723,0.99
2014-01-31 00:00:00,209,2514,0.99
2014-02-01 00:00:00,369,2145,0.99
2014-02-02 00:00:00,217,1928,0.99
2014-02-03 00:00:00,97,1831,0.99
2014-02-04 00:00:00,117,1714,0.99
2014-02-05 00:00:00,100,1998,1.29
2014-02-06 00:00:00,64,2126,1.29
2014-02-07 00:00:00,35,2091,1.29
2014-02-08 00:00:00,54,2037,1.29
2014-02-09 00:00:00,55,1982,1.29
2014-02-10 00:00:00,39,2011,1.29
2014-02-11 00:00:00,21,2131,1.29
2014-02-12 00:00:00,8,7228,1.29
2014-02-13 00:00:00,43,7185,1.09
2014-02-14 00:00:00,107,7078,1.09
2014-02-15 00:00:00,116,6962,1.09
2014-02-16 00:00:00,87,6875,1.09
2014-02-17 00:00:00,66,6809,1.09
2014-02-18 00:00:00,44,6765,1.09
2014-02-19 00:00:00,33,6731,1.09
2014-02-20 00:00:00,13,6718,1.09
2014-02-21 00:00:00,53,6665,1.09
2014-02-22 00:00:00,72,6593,1.09
2014-02-23 00:00:00,50,6543,1.09
2014-02-24 00:00:00,15,6528,1.09
2014-02-25 00:00:00,12,6516,1.09
2014-02-26 00:00:00,71,6445,1.09
2014-02-27 00:00:00,37,6412,1.09
2014-02-28 00:00:00,83,6329,1.09
2014-03-01 00:00:00,94,6237,1.09
2014-03-02 00:00:00,59,6178,1.09
2014-03-03 00:00:00,49,6129,1.09
2014-03-04 00:00:00,57,6058,1.09
2014-03-05 00:00:00,65,6012,1.09
2014-03-06 00:00:00,55,5957,1.09
2014-03-07 00:00:00,77,5880,1.09
2014-03-08 00:00:00,122,5755,1.09
2014-03-09 00:00:00,83,5672,1.09
2014-03-10 00:00:00,75,5597,1.09
2014-03-11 00:00:00,48,5549,1.09
2014-03-12 00:00:00,45,5504,1.29
2014-03-13 00:00:00,78,4659,1.29
2014-03-14 00:00:00,122,4537,1.29
2014-03-15 00:00:00,137,4391,1.29
2014-03-16 00:00:00,116,4274,1.29
2014-03-17 00:00:00,48,4228,1.29
2014-03-18 00:00:00,29,4199,1.29
2014-03-19 00:00:00,91,4107,1.29
2014-03-20 00:00:00,59,4048,1.29
2014-03-21 00:00:00,68,3980,1.29
